County,State,Price,State_Average,state_name,Comparison_with_State_Average
Sublette County,WY,3.026,2.9467,Wyoming,0.0793
Suffolk County,MA,3.211,3.1254,Massachusetts,0.0856
Suffolk County,NY,3.015,3.2019,New York,-0.1869
Sullivan County,MO,2.841,2.6718,Missouri,0.1692
Sullivan County,NH,2.971,2.9712,New Hampshire,-0.0002
Sullivan County,NY,3.108,3.2019,New York,-0.0939
Sullivan County,PA,3.366,3.3018,Pennsylvania,0.0642
Summit County,OH,2.716,2.8384,Ohio,-0.1224
Sumner County,KS,2.731,2.7011,Kansas,0.0299
Sunflower County,MS,2.444,2.6891,Mississippi,-0.2451
Sussex County,DE,2.854,2.869,Delaware,-0.015
Sussex County,NJ,2.903,2.9361,New Jersey,-0.0331
Sutter County,CA,4.202,4.5028,California,-0.3008
Swain County,NC,2.958,2.8649,North Carolina,0.0931
Switzerland County,IN,2.866,2.8702,Indiana,-0.0042
Talbot County,MD,2.862,2.9834,Maryland,-0.1214
Tallahatchie County,MS,2.671,2.6891,Mississippi,-0.0181
Tama County,IA,2.862,2.7676,Iowa,0.0944
Taos County,NM,2.711,2.8433,New Mexico,-0.1323
Tarrant County,TX,2.634,2.6847,Texas,-0.0507
Taylor County,FL,2.898,3.0547,Florida,-0.1567
Taylor County,IA,2.639,2.7676,Iowa,-0.1286
Tazewell County,VA,2.809,2.9095,Virginia,-0.1005
Tehama County,CA,3.99,4.5028,California,-0.5128
Teton County,ID,3.231,3.1104,Idaho,0.1206
Teton County,WY,2.743,2.9467,Wyoming,-0.2037
Texas County,MO,2.687,2.6718,Missouri,0.0152
Texas County,OK,2.574,2.5638,Oklahoma,0.0102
Thayer County,NE,2.924,2.8668,Nebraska,0.0572
Thomas County,KS,2.569,2.7011,Kansas,-0.1321
Thomas County,NE,3.399,2.8668,Nebraska,0.5322
Thurston County,NE,2.799,2.8668,Nebraska,-0.0678
Tillamook County,OR,3.614,3.5375,Oregon,0.0765
Tillman County,OK,2.509,2.5638,Oklahoma,-0.0548
Tioga County,NY,3.201,3.2019,New York,-0.0009
Tioga County,PA,3.304,3.3018,Pennsylvania,0.0022
Tippecanoe County,IN,2.922,2.8702,Indiana,0.0518
Tipton County,TN,2.728,2.6916,Tennessee,0.0364
Tolland County,CT,3.001,3.0285,Connecticut,-0.0275
Tompkins County,NY,3.36,3.2019,New York,0.1581
Tooele County,UT,2.95,3.0844,Utah,-0.1344
Toole County,MT,2.923,2.9015,Montana,0.0215
Torrance County,NM,2.835,2.8433,New Mexico,-0.0083
Transylvania County,NC,2.904,2.8649,North Carolina,0.0391
Treasure County,MT,2.829,2.9015,Montana,-0.0725
Treutlen County,GA,3.109,2.9209,Georgia,0.1881
Trigg County,KY,2.823,2.7243,Kentucky,0.0987
Trinity County,CA,4.895,4.5028,California,0.3922
Tripp County,SD,2.866,2.8881,South Dakota,-0.0221
Troup County,GA,2.897,2.9209,Georgia,-0.0239
Tulare County,CA,4.28,4.5028,California,-0.2228
Turner County,SD,2.815,2.8881,South Dakota,-0.0731
Tuscarawas County,OH,2.966,2.8384,Ohio,0.1276
