FIPS_County,ID,Use_of_Force,Lethal_Force,Police_Shootings
48041,26888,1344,211,6
48061,109829,214,189,9
48085,211800,3623,341,15
48091,50820,377,33,3
48099,99099,184,69,0
48113,335452,15786,4157,86
48121,88712,521,224,6
48135,53388,831,472,12
48139,186108,350,10,1
48141,123141,6679,1734,21
48157,70808,99,22,1
48167,70048,947,452,12
48181,166677,567,202,2
48183,83012,1147,354,10
48187,66644,84,28,1
48201,208693,53363,3620,218
48203,99203,9,6,2
48209,164809,3045,161,10
48215,179075,430,253,6
48221,99221,257,12,0
48245,58820,456,128,1
48251,126043,457,144,1
48303,45000,2640,468,12
48309,76000,326,224,5
48329,48072,683,213,10
48339,16432,1466,415,3
48347,50256,106,61,1
48355,17000,2500,671,21
48361,99361,141,49,0
48375,3000,950,702,17
48401,99401,19,15,2
48409,3600,18,24,2
48423,74144,271,252,0
48439,313180,10254,1645,64
48441,1000,130,119,4
48451,64472,1699,111,4
48453,62176,14884,3827,48
48459,99459,163,69,1
48465,19792,231,24,2
48469,75428,369,102,3
48477,10156,21,3,0
48479,41464,267,158,12
48485,79000,741,369,6
48491,106388,605,170,7
48493,99493,3,0,0
49005,45860,165,24,0
49011,187530,747,60,3
49019,50700,10,0,0
49027,99027,61,55,1
49029,99029,17,2,1
49035,285900,5766,408,6
49045,175725,265,27,4
49047,99047,123,6,0
49049,201585,608,78,3
49053,102500,37,10,2
49057,155037,1706,29,0
50007,114025,1524,182,0
50025,7900,385,41,0
50027,32275,95,4,1
51001,158337,2,0,0
51003,99003,11,9,1
51005,116445,3,0,2
51007,99007,1,0,0
51009,100681,11,0,0
51013,99013,377,61,4
51015,99015,16,0,2
51019,99019,2,0,1
51023,99023,33,0,1
51025,99025,11,0,0
51029,99029,3,0,0
51031,99031,22,4,0
51033,99033,1,0,1
51035,99035,4,0,0
51041,99041,1990,277,8
51043,99043,6,0,1
51045,99045,2,0,0
51049,99049,5,0,0
51053,99053,4,0,0
51059,135707,3207,747,14
51061,99061,3,0,0
51067,167563,56,2,1
51069,99069,22,2,0
51073,99073,3,0,0
51075,99075,7,0,0
51077,99077,1,0,1
51081,99081,10,0,0
51083,172795,10,0,0
51085,102453,110,24,0
51087,99087,609,169,4
51089,99089,20,7,2
51093,172293,10,0,0
51097,99097,2,0,0
51099,99099,9,0,0
51101,184061,4,0,0
51103,141527,3,0,0
51107,209099,53,2,3
51109,146253,3,0,2
51111,99111,1,0,0
51115,99115,2,0,0
51117,173021,3,0,2
51119,99119,3,0,0
51121,123513,226,0,4
51125,99125,1,0,1
51127,99127,12,0,0
51131,12808,1,0,0
51135,106967,9,0,0
51137,158633,3,0,1
51139,99139,4,0,2
51141,99141,2,0,0
51143,114143,2,0,1
51145,99145,2,0,1
51147,27440,5,0,0
51149,99149,17,0,0
51153,181609,982,533,7
51155,164035,3,0,2
51157,99157,9,0,1
51161,180441,10,0,1
51163,99163,18,0,1
51165,209589,18,9,5
51169,182977,7,0,1
51171,131848,2,0,0
51177,99177,41,6,5
51179,99179,22,0,1
51185,107337,7,0,0
51187,129155,18,0,0
51191,31204,2,0,0
51195,124627,5,0,2
51197,99197,30,0,4
51199,99991,10,0,0
51510,1000,151,86,3
51515,5544,35,0,0
51520,9816,2,0,2
51540,14968,135,12,2
51550,16000,313,39,1
51570,18448,12,0,1
51580,19728,2,0,1
51590,21344,2,0,3
51595,25808,5,0,0
51600,26496,8,0,0
51610,27200,4,0,0
51620,29600,1,0,0
51630,29744,13,0,0
51650,35000,468,118,5
51660,35624,31,0,3
51670,38424,1,0,2
51678,45512,1,0,0
51680,47672,304,174,8
51683,48952,613,110,2
51685,48968,8,0,0
51690,49784,4,0,1
51700,56000,580,173,6
51710,57000,1346,147,11
51730,61832,5,0,0
51735,63768,2,0,0
51740,64000,3,0,5
51750,65392,6,0,0
51760,67000,1005,266,13
51770,68000,25,0,5
51775,70000,10,0,0
51790,75216,1,0,0
51800,76432,36,0,2
51810,82000,2043,92,15
51820,83680,13,0,0
51830,86160,23,3,0
51840,86720,11,0,1
53001,99001,22,22,0
53005,58235,96,53,1
53007,176112,373,50,0
53009,99009,524,73,0
53011,173071,1667,412,6
53021,152566,200,53,5
53025,99025,131,34,19
53029,99029,294,50,1
53033,340673,15530,3255,74
53035,106730,2889,382,8
53041,99041,399,37,2
53045,99045,382,100,1
53053,207091,4313,1645,48
53057,47560,483,92,0
53061,249401,2757,835,86
53063,67000,555,464,22
53065,99065,60,5,1
53067,187112,985,214,14
53069,99069,5,5,0
53073,104353,1091,201,10
53075,56625,204,28,0
53077,179087,583,545,9
54029,99029,14,6,0
54039,113639,1111,249,16
54061,154817,342,109,0
54069,86452,505,43,1
55009,130009,1344,580,8
55025,252275,3210,906,11
55035,23850,1483,140,6
55059,39225,131,147,3
55063,40775,351,100,2
55073,84475,1632,91,1
55079,53000,4038,978,34
55087,131537,931,151,5
55089,30025,29,6,0
55095,99095,183,0,0
55097,176297,338,163,0
55101,66000,1288,51,3
55105,44325,433,7,3
55109,99109,80,25,0
55115,72925,109,39,2
55117,99117,15,8,0
55131,85350,80,19,0
55133,183383,1300,305,15
55139,159639,931,125,3
56001,99001,272,15,1
56005,130860,250,72,9
56007,63900,65,10,0
56021,13900,1486,139,0
56025,13150,288,58,12
56029,114789,143,3,0
56033,69845,12,6,0
